id,direction,entry_time,exit_time,entry_price,exit_price,size,fee,pnl,reason,fs,tr
130,short,2025-06-04T17:30:00+00:00,2025-06-05T21:30:00+00:00,2634.15,2445.4398346608855,3.0457,6.1884,568.5662,SL,1.1061,1.2293
133,short,2025-06-06T22:00:00+00:00,2025-06-07T22:30:00+00:00,2487.87,2534.200888842697,3.5932,7.2181,-173.6943,SL,-1.053,-0.9225
132,long,2025-06-06T13:30:00+00:00,2025-06-08T00:00:00+00:00,2502.11,2520.292495044905,3.5728,7.1776,57.7848,SL,1.9978,1.8498
134,long,2025-06-09T16:00:00+00:00,2025-06-10T02:00:00+00:00,2566.12,2686.9240530855504,3.3481,7.0351,397.429,SL,1.0972,0.8687
135,long,2025-06-10T22:00:00+00:00,2025-06-11T07:00:00+00:00,2813.75,2795.29,3.4772,7.8015,-71.9906,Replace,1.0849,0.9008
136,long,2025-06-11T07:00:00+00:00,2025-06-11T17:30:00+00:00,2795.29,2832.5154249075426,3.4229,7.7054,119.7135,SL,0.4232,0.265
137,long,2025-06-13T15:30:00+00:00,2025-06-14T18:00:00+00:00,2550.13,2502.99,3.8928,7.8683,-191.3749,Replace,0.8633,0.6779
138,long,2025-06-14T18:00:00+00:00,2025-06-15T06:00:00+00:00,2502.99,2533.5625190476526,3.7367,7.528,106.7123,SL,-1.696,-1.9342
139,long,2025-06-15T22:00:00+00:00,2025-06-16T11:00:00+00:00,2538.46,2607.567595591691,3.8106,7.8438,255.4976,SL,-1.2745,-1.5339
140,long,2025-06-16T13:30:00+00:00,2025-06-16T22:30:00+00:00,2638.42,2589.1385602378678,3.9568,8.2738,-203.2706,SL,-0.1016,-0.4712
142,long,2025-06-18T08:00:00+00:00,2025-06-18T09:00:00+00:00,2535.73,2533.67,3.8765,7.8606,-15.8462,Replace,0.6544,0.531
143,long,2025-06-18T09:00:00+00:00,2025-06-18T10:30:00+00:00,2533.67,2491.7856825187105,3.8609,7.7611,-169.4723,SL,0.6523,0.6088
141,short,2025-06-18T03:00:00+00:00,2025-06-18T13:30:00+00:00,2521.34,2494.0600503642995,3.8987,7.8214,98.5349,SL,0.7974,0.8856
144,long,2025-06-20T06:00:00+00:00,2025-06-20T08:30:00+00:00,2520.54,2542.0741884734975,3.7966,7.6883,74.0684,SL,-1.1473,-1.6468
145,long,2025-06-21T08:00:00+00:00,2025-06-21T18:30:00+00:00,2424.87,2392.9350281108964,4.038,7.7817,-136.7351,SL,0.3771,0.1901
